season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2016,REG,0,Tyreek Hill,WR,KC,7.82263888888889,3.51871428008136,7.87060240963855,16.7080578538819,61,83,73.4939759036145,599,6,4.67065573770492,5.33157028686773,-0.660914549162814,00-0033040,Tyreek,Hill,10,T.Hill
2016,REG,0,Richard Rodgers,TE,GB,7.60578947368421,2.69388208047946,8.38127659574468,6.88424603070578,30,47,63.8297872340426,271,2,3.34766666666667,3.2744280250081,0.0732386416585666,00-0031384,Richard,Rodgers,82,
2016,REG,0,Travis Benjamin,WR,LAC,7.60111111111111,3.01742618497072,13.3298666666667,19.536130722888,47,75,62.6666666666667,677,4,5.67936170212766,4.96871083642785,0.710650865699808,00-0029269,Travis,Benjamin,12,
2016,REG,0,Cordarrelle Patterson,WR,MIN,7.46626865671642,3.23044503445249,5.564,9.53000822143053,52,70,74.2857142857143,453,2,6.27846153846154,5.61905998335381,0.65940155510773,00-0030578,Cordarrelle,Patterson,84,C.Patterson
2016,REG,0,DeSean Jackson,WR,WAS,7.29583333333333,2.8862852196325,16.0354,28.0859143063819,56,100,56,1005,4,4.86714285714286,5.05177300210555,-0.184630144962695,00-0026189,DeSean,Jackson,11,D.Jackson
2016,REG,0,Albert Wilson,WR,KC,7.21409090909091,3.50555989206639,7.72607843137255,10.0778802255841,31,51,60.7843137254902,279,2,5.22258064516129,5.19666717129681,0.0259134738644811,00-0030669,Albert,Wilson,12,A.Wilson
2016,REG,0,Brandin Cooks,WR,NO,7.14921052631579,2.84730335487696,13.4490598290598,30.8740660513593,78,117,66.6666666666667,1173,8,4.59692307692308,4.10761506025108,0.489308016671997,00-0031236,Brandin,Cooks,10,B.Cooks
2016,REG,0,Rishard Matthews,WR,TEN,7.13884615384616,2.16709976443585,13.5075925925926,29.9321263254654,65,108,60.1851851851852,945,9,3.85907692307692,3.95981455373732,-0.1007376306604,00-0029580,Rishard,Matthews,18,R.Matthews
2016,REG,0,Taylor Gabriel,WR,ATL,7.081,3.15898183485421,11.191,11.6375079032312,35,50,70,579,6,7.892,6.37637731913617,1.51562268086383,00-0031228,Taylor,Gabriel,18,T.Gabriel
2016,REG,0,Phillip Dorsett,WR,IND,7.07254237288136,2.90284328358621,13.8354237288136,15.6132726876274,33,59,55.9322033898305,528,2,4.32515151515152,4.65852574731479,-0.333374232163271,00-0032208,Phillip,Dorsett,15,P.Dorsett
2016,REG,0,Chris Conley,WR,KC,7.05367647058824,2.9057114455511,10.5834782608696,18.6774428686522,44,69,63.768115942029,530,0,3.04909090909091,4.01735378192329,-0.968262872832385,00-0032128,Christian,Conley,17,C.Conley
2016,REG,0,Tavon Austin,WR,LAR,6.97717391304348,3.19145318979619,7.54839622641509,18.7467491389611,58,106,54.7169811320755,509,3,4.55862068965517,4.73401633932491,-0.17539564966974,00-0030525,Tavon,Austin,11,T.Austin
2016,REG,0,Tyler Lockett,WR,SEA,6.80875,3.35373046655972,10.7609090909091,13.8545180023682,41,66,62.1212121212121,597,1,5.33975609756098,5.55180206676888,-0.212045969207903,00-0032211,Tyler,Lockett,16,
2016,REG,0,Ted Ginn,WR,CAR,6.765,2.99297933476021,13.3887368421053,20.9333289445533,54,95,56.8421052631579,752,4,3.40333333333333,4.05302891686492,-0.649695583531583,00-0025396,Ted,Ginn,19,T.Ginn
2016,REG,0,Sammie Coates,WR,PIT,6.75979591836735,2.52394717681324,22.0085714285714,19.2836706959445,21,49,42.8571428571429,435,2,5.73142857142857,6.25117914165748,-0.519750570228906,00-0032166,Sammie,Coates,14,S.Coates
2016,REG,0,Jamison Crowder,WR,WAS,6.73223529411765,3.59347659118066,8.65616161616162,15.0096069471276,67,99,67.6767676767677,847,7,5.61238805970149,5.66883713656255,-0.0564490768610622,00-0031941,Jamison,Crowder,80,J.Crowder
